%experiment	interface	d1	d2
0	UQ_I	0.0	-0.5235987755982988
1	UQ_I	0.0	-0.5148721293383273
2	UQ_I	0.0	-0.5061454830783556
3	UQ_I	0.0	-0.49741883681838395
4	UQ_I	0.0	-0.4886921905584123
5	UQ_I	0.0	-0.4799655442984406
6	UQ_I	0.0	-0.47123889803846897
7	UQ_I	0.0	-0.4625122517784973
8	UQ_I	0.0	-0.4537856055185257
9	UQ_I	0.0	-0.44505895925855404
10	UQ_I	0.0	-0.4363323129985824
11	UQ_I	0.0	-0.4276056667386107
12	UQ_I	0.0	-0.4188790204786391
13	UQ_I	0.0	-0.41015237421866746
14	UQ_I	0.0	-0.4014257279586958
15	UQ_I	0.0	-0.39269908169872414
16	UQ_I	0.0	-0.3839724354387525
17	UQ_I	0.0	-0.3752457891787809
18	UQ_I	0.0	-0.3665191429188092
19	UQ_I	0.0	-0.35779249665883756
20	UQ_I	0.0	-0.3490658503988659
21	UQ_I	0.0	-0.34033920413889424
22	UQ_I	0.0	-0.33161255787892263
23	UQ_I	0.0	-0.32288591161895097
24	UQ_I	0.0	-0.3141592653589793
25	UQ_I	0.0	-0.30543261909900765
26	UQ_I	0.0	-0.29670597283903605
27	UQ_I	0.0	-0.2879793265790644
28	UQ_I	0.0	-0.2792526803190927
29	UQ_I	0.0	-0.27052603405912107
30	UQ_I	0.0	-0.2617993877991494
31	UQ_I	0.0	-0.2530727415391778
32	UQ_I	0.0	-0.24434609527920614
33	UQ_I	0.0	-0.23561944901923448
34	UQ_I	0.0	-0.22689280275926285
35	UQ_I	0.0	-0.2181661564992912
36	UQ_I	0.0	-0.20943951023931956
37	UQ_I	0.0	-0.2007128639793479
38	UQ_I	0.0	-0.19198621771937624
39	UQ_I	0.0	-0.1832595714594046
40	UQ_I	0.0	-0.17453292519943295
41	UQ_I	0.0	-0.16580627893946132
42	UQ_I	0.0	-0.15707963267948966
43	UQ_I	0.0	-0.14835298641951802
44	UQ_I	0.0	-0.13962634015954636
45	UQ_I	0.0	-0.1308996938995747
46	UQ_I	0.0	-0.12217304763960307
47	UQ_I	0.0	-0.11344640137963143
48	UQ_I	0.0	-0.10471975511965978
49	UQ_I	0.0	-0.09599310885968812
50	UQ_I	0.0	-0.08726646259971647
51	UQ_I	0.0	-0.07853981633974483
52	UQ_I	0.0	-0.06981317007977318
53	UQ_I	0.0	-0.061086523819801536
54	UQ_I	0.0	-0.05235987755982989
55	UQ_I	0.0	-0.04363323129985824
56	UQ_I	0.0	-0.03490658503988659
57	UQ_I	0.0	-0.026179938779914945
58	UQ_I	0.0	-0.017453292519943295
59	UQ_I	0.0	-0.008726646259971648
60	UQ_I	0.0	0.0
61	UQ_I	0.0	0.008726646259971648
62	UQ_I	0.0	0.017453292519943295
63	UQ_I	0.0	0.026179938779914945
64	UQ_I	0.0	0.03490658503988659
65	UQ_I	0.0	0.04363323129985824
66	UQ_I	0.0	0.05235987755982989
67	UQ_I	0.0	0.061086523819801536
68	UQ_I	0.0	0.06981317007977318
69	UQ_I	0.0	0.07853981633974483
70	UQ_I	0.0	0.08726646259971647
71	UQ_I	0.0	0.09599310885968812
72	UQ_I	0.0	0.10471975511965978
73	UQ_I	0.0	0.11344640137963143
74	UQ_I	0.0	0.12217304763960307
75	UQ_I	0.0	0.1308996938995747
76	UQ_I	0.0	0.13962634015954636
77	UQ_I	0.0	0.14835298641951802
78	UQ_I	0.0	0.15707963267948966
79	UQ_I	0.0	0.16580627893946132
80	UQ_I	0.0	0.17453292519943295
81	UQ_I	0.0	0.1832595714594046
82	UQ_I	0.0	0.19198621771937624
83	UQ_I	0.0	0.2007128639793479
84	UQ_I	0.0	0.20943951023931956
85	UQ_I	0.0	0.2181661564992912
86	UQ_I	0.0	0.22689280275926285
87	UQ_I	0.0	0.23561944901923448
88	UQ_I	0.0	0.24434609527920614
89	UQ_I	0.0	0.2530727415391778
90	UQ_I	0.0	0.2617993877991494
91	UQ_I	0.0	0.27052603405912107
92	UQ_I	0.0	0.2792526803190927
93	UQ_I	0.0	0.2879793265790644
94	UQ_I	0.0	0.29670597283903605
95	UQ_I	0.0	0.30543261909900765
96	UQ_I	0.0	0.3141592653589793
97	UQ_I	0.0	0.32288591161895097
98	UQ_I	0.0	0.33161255787892263
99	UQ_I	0.0	0.34033920413889424
100	UQ_I	0.0	0.3490658503988659
101	UQ_I	0.0	0.35779249665883756
102	UQ_I	0.0	0.3665191429188092
103	UQ_I	0.0	0.3752457891787809
104	UQ_I	0.0	0.3839724354387525
105	UQ_I	0.0	0.39269908169872414
106	UQ_I	0.0	0.4014257279586958
107	UQ_I	0.0	0.41015237421866746
108	UQ_I	0.0	0.4188790204786391
109	UQ_I	0.0	0.4276056667386107
110	UQ_I	0.0	0.4363323129985824
111	UQ_I	0.0	0.44505895925855404
112	UQ_I	0.0	0.4537856055185257
113	UQ_I	0.0	0.4625122517784973
114	UQ_I	0.0	0.47123889803846897
115	UQ_I	0.0	0.4799655442984406
116	UQ_I	0.0	0.4886921905584123
117	UQ_I	0.0	0.49741883681838395
118	UQ_I	0.0	0.5061454830783556
119	UQ_I	0.0	0.5148721293383273
120	UQ_I	0.0	0.5235987755982988
