,ouu_det_power,ouu_exp_power,det_exp_power,det_det_power,base_exp_power,base_det_power,ws,dir
0,-395190.7345884659,1483605.2685,1436850.0224,-406413.575,1467957.2768,-376580.1079482488,3.0,0
1,-502855.60828716453,1607817.0261,1605833.3005,-504405.3984,1603630.6434,-503884.7855674886,3.0,10
2,-461184.04623557325,1500149.9418,1492099.889,-464884.0714,1465353.2686,-431884.9417621638,3.0,20
3,-390763.6221243702,1375154.7206,1350472.0127,-405563.8276,1361483.4231,-366480.99453568156,3.0,30
4,-462128.3680459862,1526925.9829,1521885.9492,-466928.2714,1514522.8258,-460880.32402164995,3.0,40
5,-477554.38086106826,1551317.7785,1548595.6632,-478231.012,1539730.5898,-473789.73960952455,3.0,50
6,-439355.1089616549,1515609.6407,1496016.8248,-448701.0309,1511976.3989,-422168.2772102942,3.0,60
7,-472317.7598648003,1534396.0264,1530726.4565,-471790.6981,1527368.1623,-468922.17757081165,3.0,350
8,-448253.4751818326,1465985.4067,1462744.8384,-450908.0466,1444769.0414,-430482.9137275385,3.0,340
9,-414281.4172479653,1408678.882,1390696.2216,-427104.8609,1379747.8785,-374570.61181494984,3.0,330
10,-459572.7152653802,1533193.7291,1520145.0013,-466026.5786,1527615.4196,-463767.22224825347,3.0,320
11,-481501.35942564916,1567064.0122,1565689.8548,-483157.9504,1562710.4723,-478478.0229638433,3.0,310
12,-458516.79969370324,1555858.9325,1543197.7583,-465333.2665,1543926.5627,-435037.4765135485,3.0,300
13,-1474018.7330595276,2473561.7245,2394888.8573,-1532815.259,2452280.6059,-1410453.1297989008,4.0,0
14,-1849008.918604583,2668006.8862,2665234.7769,-1852886.938,2662702.7641,-1851830.897958591,4.0,10
15,-1716225.260433038,2490954.226,2483253.3409,-1725779.075,2439573.5062,-1623472.537458978,4.0,20
16,-1483513.0833441885,2298556.9964,2260393.9285,-1536979.808,2277588.1084,-1373045.5631823833,4.0,30
17,-1716131.0591156678,2543677.735,2534802.4993,-1734598.204,2527220.9999,-1702657.9707744606,4.0,40
18,-1777703.488229473,2582086.7752,2577454.4601,-1780571.894,2566210.6542,-1766510.036323433,4.0,50
19,-1630839.546823185,2526841.2615,2498604.4222,-1671462.543,2520398.2423,-1581279.8748054868,4.0,60
20,-1748981.7521562611,2554720.4501,2552964.1694,-1750982.977,2544848.6927,-1721561.4288021573,4.0,350
21,-1685170.3823397064,2443772.3505,2442303.7671,-1694091.978,2412407.3478,-1623453.0245533234,4.0,340
22,-1549133.6184163236,2347836.3707,2319988.3854,-1594629.605,2306175.1698,-1399873.9089221715,4.0,330
23,-1700110.2036956488,2553271.3801,2516980.9828,-1734645.122,2545965.6734,-1710638.9696384994,4.0,320
24,-1790747.468515276,2608630.6445,2605526.3636,-1795787.912,2600743.763,-1779922.541552289,4.0,310
25,-1705116.5628692512,2585889.788,2565930.9449,-1725527.481,2572072.1588,-1631399.1056374991,4.0,300
26,-3531892.8884578627,4463018.6781,4311659.6796,-3641888.645,4434421.2414,-3421483.982149191,5.0,0
27,-4329064.468211372,4788379.5899,4784922.5988,-4337519.05,4782452.1958,-4336664.476353566,5.0,10
28,-4062020.1595300757,4476798.9519,4467365.4148,-4080036.464,4401752.5792,-3868050.4822861264,5.0,20
29,-3572303.3632554105,4160885.7489,4106571.2081,-3683956.558,4127939.0449,-3310636.0064232904,5.0,30
30,-4055837.4922805657,4585359.8125,4568622.3124,-4101107.715,4563227.5104,-4043792.3271464184,5.0,40
31,-4221773.984676476,4648801.949,4641346.5445,-4227551.174,4627497.1219,-4207161.457944072,5.0,50
32,-3879582.557308258,4555943.8495,4508517.7357,-3961270.361,4547735.7895,-3780485.138693995,5.0,60
33,-4116722.4220155426,4602061.3394,4598547.0277,-4127284.767,4588855.4527,-4058930.74164427,5.0,350
34,-4013026.7735962365,4408547.2456,4406228.7874,-4030806.039,4361360.7767,-3882323.623103584,5.0,340
35,-3685492.9656873923,4237715.3675,4191528.0446,-3777809.823,4176130.6855,-3366832.7807137724,5.0,330
36,-4031802.0565771144,4600116.3494,4539816.446,-4104735.914,4591710.6467,-4055928.8885423485,5.0,320
37,-4241987.342555278,4692612.0035,4689021.0399,-4250929.842,4681798.4371,-4225195.868774532,5.0,310
38,-4030281.2821287755,4648440.123,4615345.3711,-4073611.516,4634205.4206,-3894168.3255377784,5.0,300
39,-6622206.908618178,7727323.6544,7500180.8384,-6741779.862,7689083.7313,-6472705.821409876,6.0,0
40,-7943418.540653719,8251786.1639,8247281.5961,-7954500.526,8244443.0435,-7953582.464474275,6.0,10
41,-7489142.048962902,7726554.327,7710361.5098,-7518612.981,7621757.5676,-7201628.66242675,6.0,20
42,-6622540.737163231,7226011.5238,7120985.112,-6812583.465,7178006.3248,-6246788.634429394,6.0,30
43,-7513730.592915623,7929183.1004,7898151.6149,-7573385.369,7902267.7601,-7485846.366015778,6.0,40
44,-7797324.038949929,8032066.2868,8021127.6748,-7807382.929,8003962.6275,-7778668.848277941,6.0,50
45,-7191948.151944702,7881771.9022,7801459.8725,-7324848.301,7872563.4489,-7058157.238427362,6.0,60
46,-7587799.087942853,7956998.1686,7947637.3681,-7613856.389,7938932.1067,-7493688.838662921,6.0,350
47,-7418728.494172021,7629186.9028,7626648.3352,-7456497.972,7565231.8238,-7228507.6967642,6.0,340
