,direction,probability,speed
0,300.0,0.002365588494726823,3.0
1,300.0,0.00354342819279264,4.0
2,300.0,0.0041744155888967256,5.0
3,300.0,0.003944495990560263,6.0
4,300.0,0.0029821949320715507,7.0
5,300.0,0.0017812492814216214,8.0
6,300.0,0.0008255143794498141,9.0
7,300.0,0.0002906436900064969,10.0
8,300.0,7.596791166352321e-05,11.0
9,300.0,1.4387659027976005e-05,12.0
10,300.0,1.9254504613137844e-06,13.0
11,300.0,1.7745619010192104e-07,14.0
12,300.0,1.0972731151549701e-08,15.0
13,310.0,0.0019409106298187767,3.0
14,310.0,0.00314940605446356,4.0
15,310.0,0.004233237039333142,5.0
16,310.0,0.004869751545925736,6.0
17,310.0,0.004844952165701482,7.0
18,310.0,0.004170128595202484,8.0
19,310.0,0.0030894919408238045,9.0
20,310.0,0.001954162613797097,10.0
21,310.0,0.001044721099027049,11.0
22,310.0,0.0004667636094292383,12.0
23,310.0,0.00017217713431040536,13.0
24,310.0,5.177301424650549e-05,14.0
25,310.0,1.2524557920719356e-05,15.0
26,320.0,0.0027749457099952137,3.0
27,320.0,0.004563213337854102,4.0
28,320.0,0.006269971875277951,5.0
29,320.0,0.007453287241003134,6.0
30,320.0,0.007762742644953176,7.0
31,320.0,0.007101266401169983,8.0
32,320.0,0.005689178260670828,9.0
33,320.0,0.003967840256554397,10.0
34,320.0,0.0023901170327948183,11.0
35,320.0,0.0012321820069575498,12.0
36,320.0,0.0005382519380755053,13.0
37,320.0,0.00019713259782990598,14.0
38,320.0,5.987069686343678e-05,15.0
39,330.0,0.011285705359283273,3.0
40,330.0,0.017045595104463674,4.0
41,330.0,0.02035718580362804,5.0
42,330.0,0.01963203086003417,6.0
43,330.0,0.015270847550635753,7.0
44,330.0,0.009473066771932662,8.0
45,330.0,0.004608911031683701,9.0
46,330.0,0.0017242291997552226,10.0
47,330.0,0.0004853566156569376,11.0
48,330.0,0.00010047024263597004,12.0
49,330.0,1.4934810517607643e-05,13.0
50,330.0,1.5558427646715183e-06,14.0
51,330.0,1.1080700831214646e-07,15.0
52,340.0,0.016162810856480993,3.0
